DP TotalCurrent(IdVgp_350n59_des) X,DP TotalCurrent(IdVgp_350n59_des) Y,DN TotalCurrent(IdVgn_350n59_des) X,DN TotalCurrent(IdVgn_350n59_des) Y
0,-8.5075216e-09,0,1.5171129e-08
-0.05,-2.9286655e-08,0.05,2.7049791e-08
-0.1,-1.1361728e-07,0.1,4.6975082e-08
-0.15,-4.562235e-07,0.15,7.886813e-08
-0.2,-1.3689081e-06,0.2,1.2928443e-07
-0.25,-2.9060488e-06,0.25,2.1401301e-07
-0.3,-5.0987669e-06,0.3,3.7560042e-07
-0.35,-7.6813426e-06,0.35,7.3622238e-07
-0.4,-1.0461614e-05,0.4,1.5907228e-06
-0.45,-1.3273251e-05,0.45,3.1326312e-06
-0.5,-1.6089098e-05,0.5,5.156623e-06
-0.55,-1.8917393e-05,0.55,8.1344584e-06
-0.6,-2.1746485e-05,0.6,1.1722287e-05
-0.65,-2.4534448e-05,0.65,1.5354764e-05
-0.7,-2.7297355e-05,0.7,1.9013884e-05
-0.75,-2.9990816e-05,0.75,2.2776141e-05
-0.8,-3.2631169e-05,0.8,2.6448015e-05
-0.85,-3.5224216e-05,0.85,2.9926508e-05
-0.9,-3.7805984e-05,0.9,3.3278559e-05
-0.95,-4.0429287e-05,0.95,3.6594132e-05
-1,-4.3003749e-05,1,4.0040327e-05

