Curve,Vth(V),Gm_max(S),Ion(A),Ioff(A),Ron(Ohm),Rout(Ohm),SS(mV/dec)
DN TotalCurrent(IdVgn_300_0.004_HfO2n57_des_2),0.557583473586,0.000161091177998,7.12734569965e-05,4.25466561969e-09,6.16901829038,11247.648544,134.738634569
DN TotalCurrent(IdVgn_300_0.004_Si3N4n119_des),0.526050072403,0.000121984881787,5.78712240519e-05,5.72934396052e-09,8.12249733107,9260.88541105,136.88382351
DN TotalCurrent(IdVgn_300_0.004_SiO2n113_des),0.49662905305,0.000103756863076,5.11009335984e-05,7.36947944242e-09,9.64014772628,7412.97982396,140.888277223
DN TotalCurrent(IdVgn_300_0.008_HfO2n138_des),0.540115497089,0.000109215457546,4.98817251727e-05,1.73866385867e-09,9.15696599909,23935.1644619,128.262195326
DN TotalCurrent(IdVgn_300_0.008_Si3N4n132_des),0.525056341343,7.6567807926e-05,3.60201354604e-05,1.9390533002e-09,13.0603275532,22307.1396271,129.49747615
DN TotalCurrent(IdVgn_300_0.008_SiO2n126_des),0.483066159645,6.02761317112e-05,3.07189503155e-05,1.88869429498e-09,16.5921420657,22950.6155454,127.143465146
DN TotalCurrent(IdVgn_300_0.010_HfO2n157_des),0.508238824515,7.64947584442e-05,3.73335061586e-05,1.19151938182e-09,13.0731315393,31615.1178079,128.840954838
DN TotalCurrent(IdVgn_300_0.010_Si3N4n151_des),0.488666407226,5.08134342624e-05,2.57740901728e-05,1.25745379097e-09,19.6805427156,31010.2003115,129.993380498
DN TotalCurrent(IdVgn_300_0.010_SiO2n145_des),0.487607957143,4.35013689583e-05,2.2326430207e-05,1.00431505818e-09,22.6066012862,38996.84426,125.526945294
DN TotalCurrent(IdVgn_300_0.012_HfO2n176_des),0.530081714425,6.51866499875e-05,3.05867621315e-05,6.23981663548e-10,15.3419331263,54696.0646774,126.493437636
DN TotalCurrent(IdVgn_300_0.012_Si3N4n170_des),0.506432036432,4.13153308064e-05,2.04417486757e-05,6.58652439053e-10,23.6340519385,53343.4390737,128.602685313
DN TotalCurrent(IdVgn_300_0.012_SiO2n164_des),0.461474282854,3.46298477527e-05,1.85847937755e-05,5.56398649314e-10,28.8768280367,63413.2856358,122.300342344
DP TotalCurrent(IdVgp_300_0.004_HfO2n57_des),-0.323952527537,0.000142496211007,-9.61003526393e-05,-1.62720480093e-09,6.9615809467,9610.37913728,69.1109599812
DP TotalCurrent(IdVgp_300_0.004_Si3N4n119_des),-0.296892566766,0.000118013986478,-8.16185487286e-05,-1.88977285812e-09,8.47363666379,8663.03296061,70.1605773022
DP TotalCurrent(IdVgp_300_0.004_SiO2n113_des),-0.276684258707,9.69133884244e-05,-6.96188995009e-05,-1.88385542587e-09,10.3188150275,8242.32150361,70.21944607
DP TotalCurrent(IdVgp_300_0.008_HfO2n138_des),-0.307502455007,9.45158787451e-05,-6.54952146208e-05,-9.54750605623e-10,10.4843902266,14152.9599092,66.9883316067
DP TotalCurrent(IdVgp_300_0.008_Si3N4n132_des),-0.248240733285,6.07544096576e-05,-4.44961969082e-05,-9.32294712024e-10,16.4598257545,13748.4629841,66.6010969494
DP TotalCurrent(IdVgp_300_0.008_SiO2n126_des),-0.235761005104,5.30632398017e-05,-3.85638866415e-05,-1.11915518391e-09,18.8492580392,11572.5967735,67.4692187405
DP TotalCurrent(IdVgp_300_0.010_HfO2n157_des),-0.255080044765,5.98670592826e-05,-4.29793279624e-05,-6.48545342571e-10,16.7037790223,17483.4031707,65.2651450343
DP TotalCurrent(IdVgp_300_0.010_Si3N4n151_des),-0.238559273304,4.27326212512e-05,-3.04233638267e-05,-6.55069020639e-10,23.4013300814,16708.8145178,65.255797171
DP TotalCurrent(IdVgp_300_0.010_SiO2n145_des),-0.229596795289,4.00350515859e-05,-2.7925518253e-05,-7.98006248721e-10,24.9883032834,14130.8926929,66.0103537661
DP TotalCurrent(IdVgp_300_0.012_HfO2n176_des),-0.265390713195,6.3347208685e-05,-4.61678407805e-05,-5.59975564711e-10,15.7860208639,19436.8337603,65.2007210918
DP TotalCurrent(IdVgp_300_0.012_Si3N4n170_des),-0.237997597798,4.03465467302e-05,-2.86593566475e-05,-5.64779447829e-10,24.7862775564,18483.2038118,64.993769471
DP TotalCurrent(IdVgp_300_0.012_SiO2n164_des),-0.218686411453,2.96782936393e-05,-2.14617173659e-05,-6.44318552704e-10,33.695307157,16705.6914196,65.8924729471
