DN TotalCurrent(IdVgn_300_0.004_HfO2n57_des) X,DN TotalCurrent(IdVgn_300_0.004_HfO2n57_des) Y,DN TotalCurrent(IdVgn_300_0.004_HfO2n57_des_2) X,DN TotalCurrent(IdVgn_300_0.004_HfO2n57_des_2) Y,DN TotalCurrent(IdVgn_300_0.004_Si3N4n119_des) X,DN TotalCurrent(IdVgn_300_0.004_Si3N4n119_des) Y,DN TotalCurrent(IdVgn_300_0.004_SiO2n113_des) X,DN TotalCurrent(IdVgn_300_0.004_SiO2n113_des) Y,DN TotalCurrent(IdVgn_300_0.008_HfO2n138_des) X,DN TotalCurrent(IdVgn_300_0.008_HfO2n138_des) Y,DN TotalCurrent(IdVgn_300_0.008_Si3N4n132_des) X,DN TotalCurrent(IdVgn_300_0.008_Si3N4n132_des) Y,DN TotalCurrent(IdVgn_300_0.008_SiO2n126_des) X,DN TotalCurrent(IdVgn_300_0.008_SiO2n126_des) Y,DN TotalCurrent(IdVgn_300_0.010_HfO2n157_des) X,DN TotalCurrent(IdVgn_300_0.010_HfO2n157_des) Y,DN TotalCurrent(IdVgn_300_0.010_Si3N4n151_des) X,DN TotalCurrent(IdVgn_300_0.010_Si3N4n151_des) Y,DN TotalCurrent(IdVgn_300_0.010_SiO2n145_des) X,DN TotalCurrent(IdVgn_300_0.010_SiO2n145_des) Y,DN TotalCurrent(IdVgn_300_0.012_HfO2n176_des) X,DN TotalCurrent(IdVgn_300_0.012_HfO2n176_des) Y,DN TotalCurrent(IdVgn_300_0.012_Si3N4n170_des) X,DN TotalCurrent(IdVgn_300_0.012_Si3N4n170_des) Y,DN TotalCurrent(IdVgn_300_0.012_SiO2n164_des) X,DN TotalCurrent(IdVgn_300_0.012_SiO2n164_des) Y,DP TotalCurrent(IdVgp_300_0.004_HfO2n57_des) X,DP TotalCurrent(IdVgp_300_0.004_HfO2n57_des) Y,DP TotalCurrent(IdVgp_300_0.004_Si3N4n119_des) X,DP TotalCurrent(IdVgp_300_0.004_Si3N4n119_des) Y,DP TotalCurrent(IdVgp_300_0.004_SiO2n113_des) X,DP TotalCurrent(IdVgp_300_0.004_SiO2n113_des) Y,DP TotalCurrent(IdVgp_300_0.008_HfO2n138_des) X,DP TotalCurrent(IdVgp_300_0.008_HfO2n138_des) Y,DP TotalCurrent(IdVgp_300_0.008_Si3N4n132_des) X,DP TotalCurrent(IdVgp_300_0.008_Si3N4n132_des) Y,DP TotalCurrent(IdVgp_300_0.008_SiO2n126_des) X,DP TotalCurrent(IdVgp_300_0.008_SiO2n126_des) Y,DP TotalCurrent(IdVgp_300_0.010_HfO2n157_des) X,DP TotalCurrent(IdVgp_300_0.010_HfO2n157_des) Y,DP TotalCurrent(IdVgp_300_0.010_Si3N4n151_des) X,DP TotalCurrent(IdVgp_300_0.010_Si3N4n151_des) Y,DP TotalCurrent(IdVgp_300_0.010_SiO2n145_des) X,DP TotalCurrent(IdVgp_300_0.010_SiO2n145_des) Y,DP TotalCurrent(IdVgp_300_0.012_HfO2n176_des) X,DP TotalCurrent(IdVgp_300_0.012_HfO2n176_des) Y,DP TotalCurrent(IdVgp_300_0.012_Si3N4n170_des) X,DP TotalCurrent(IdVgp_300_0.012_Si3N4n170_des) Y,DP TotalCurrent(IdVgp_300_0.012_SiO2n164_des) X,DP TotalCurrent(IdVgp_300_0.012_SiO2n164_des) Y
0,4.2546656e-09,0,4.2546656e-09,0,5.729344e-09,0,7.3694794e-09,0,1.7386639e-09,0,1.9390533e-09,0,1.8886943e-09,0,1.1915194e-09,0,1.2574538e-09,0,1.0043151e-09,0,6.2398166e-10,0,6.5865244e-10,0,5.5639865e-10,0,-1.6272048e-09,0,-1.8897729e-09,0,-1.8838554e-09,0,-9.5475061e-10,0,-9.3229471e-10,0,-1.1191552e-09,0,-6.4854534e-10,0,-6.5506902e-10,0,-7.9800625e-10,0,-5.5997556e-10,0,-5.6477945e-10,0,-6.4431855e-10
0.05,8.7000392e-09,0.05,8.7000392e-09,0.05,1.1128396e-08,0.05,1.4114405e-08,0.05,3.8276405e-09,0.05,4.1804881e-09,0.05,4.0672851e-09,0.05,2.7730412e-09,0.05,2.8698265e-09,0.05,2.2864701e-09,0.05,1.5381242e-09,0.05,1.5959748e-09,0.05,1.344877e-09,-0.05,-6.8299132e-09,-0.05,-7.6614235e-09,-0.05,-7.9501075e-09,-0.05,-4.4875805e-09,-0.05,-4.5690649e-09,-0.05,-5.4397067e-09,-0.05,-3.5084005e-09,-0.05,-3.6475015e-09,-0.05,-4.3363531e-09,-0.05,-3.132411e-09,-0.05,-3.2699382e-09,-0.05,-3.6373105e-09
0.1,1.7194214e-08,0.1,1.7194214e-08,0.1,2.0834428e-08,0.1,2.6220612e-08,0.1,8.1941145e-09,0.1,8.771627e-09,0.1,8.5625515e-09,0.1,6.2638388e-09,0.1,6.3574152e-09,0.1,5.0908317e-09,0.1,3.6847736e-09,0.1,3.7569059e-09,0.1,3.177572e-09,-0.1,-3.465651e-08,-0.1,-3.7788384e-08,-0.1,-3.9539732e-08,-0.1,-2.4371559e-08,-0.1,-2.5321138e-08,-0.1,-2.9847048e-08,-0.1,-2.039898e-08,-0.1,-2.1441262e-08,-0.1,-2.5239703e-08,-0.1,-1.8493096e-08,-0.1,-1.9520364e-08,-0.1,-2.1218988e-08
0.15,3.2439205e-08,0.15,3.2439205e-08,0.15,3.7507083e-08,0.15,4.6492083e-08,0.15,1.6971905e-08,0.15,1.7806315e-08,0.15,1.7555552e-08,0.15,1.3656879e-08,0.15,1.3618821e-08,0.15,1.1058257e-08,0.15,8.5376194e-09,0.15,8.5593793e-09,0.15,7.2979077e-09,-0.15,-1.9114533e-07,-0.15,-2.0399114e-07,-0.15,-2.1109597e-07,-0.15,-1.3957561e-07,-0.15,-1.4497866e-07,-0.15,-1.6509459e-07,-0.15,-1.1948698e-07,-0.15,-1.2428719e-07,-0.15,-1.4191833e-07,-0.15,-1.070543e-07,-0.15,-1.1135513e-07,-0.15,-1.1870948e-07
0.2,5.9454205e-08,0.2,5.9454205e-08,0.2,6.614227e-08,0.2,7.9912891e-08,0.2,3.3558803e-08,0.2,3.4535847e-08,0.2,3.470451e-08,0.2,2.8578505e-08,0.2,2.8043384e-08,0.2,2.3344438e-08,0.2,1.9111338e-08,0.2,1.8848159e-08,0.2,1.6275606e-08,-0.2,-9.1302002e-07,-0.2,-9.4730621e-07,-0.2,-9.6211093e-07,-0.2,-6.7243568e-07,-0.2,-6.6441288e-07,-0.2,-7.1884337e-07,-0.2,-5.5055595e-07,-0.2,-5.3525411e-07,-0.2,-5.9936945e-07,-0.2,-4.9747555e-07,-0.2,-4.8386387e-07,-0.2,-4.8222805e-07
0.25,1.0854039e-07,0.25,1.0854039e-07,0.25,1.1708362e-07,0.25,1.3670804e-07,0.25,6.4502198e-08,0.25,6.5280755e-08,0.25,6.6128099e-08,0.25,5.7550854e-08,0.25,5.5735509e-08,0.25,4.7557082e-08,0.25,4.0944259e-08,0.25,3.9785064e-08,0.25,3.4998473e-08,-0.25,-2.7384625e-06,-0.25,-2.7450258e-06,-0.25,-2.7050272e-06,-0.25,-2.0354966e-06,-0.25,-1.8720618e-06,-0.25,-1.931123e-06,-0.25,-1.6054654e-06,-0.25,-1.4562497e-06,-0.25,-1.5931081e-06,-0.25,-1.5385624e-06,-0.25,-1.3525621e-06,-0.25,-1.286685e-06
0.3,2.0561251e-07,0.3,2.0561251e-07,0.3,2.1656192e-07,0.3,2.4303425e-07,0.3,1.2609458e-07,0.3,1.258945e-07,0.3,1.2720856e-07,0.3,1.1598684e-07,0.3,1.1121563e-07,0.3,9.648297e-08,0.3,8.6722562e-08,0.3,8.3253854e-08,0.3,7.3212426e-08,-0.3,-5.8696581e-06,-0.3,-5.6469397e-06,-0.3,-5.3804461e-06,-0.3,-4.4137932e-06,-0.3,-3.8373614e-06,-0.3,-3.751701e-06,-0.3,-3.4358922e-06,-0.3,-2.9182329e-06,-0.3,-3.0518599e-06,-0.3,-3.3648781e-06,-0.3,-2.7736355e-06,-0.3,-2.4923362e-06
0.35,4.2769615e-07,0.35,4.2769615e-07,0.35,4.422745e-07,0.35,4.7655474e-07,0.35,2.6735036e-07,0.35,2.6472825e-07,0.35,2.6709736e-07,0.35,2.4919237e-07,0.35,2.3799206e-07,0.35,2.1131794e-07,0.35,1.9539485e-07,0.35,1.8642992e-07,0.35,1.6210251e-07,-0.35,-1.0148395e-05,-0.35,-9.5353291e-06,-0.35,-8.884152e-06,-0.35,-7.6115711e-06,-0.35,-6.3997042e-06,-0.35,-6.0906604e-06,-0.35,-5.8885547e-06,-0.35,-4.8145394e-06,-0.35,-4.8607742e-06,-0.35,-5.7832209e-06,-0.35,-4.57635e-06,-0.35,-3.9036688e-06
0.4,1.0039046e-06,0.4,1.0039046e-06,0.4,1.018654e-06,0.4,1.0585605e-06,0.4,6.6048408e-07,0.4,6.5374804e-07,0.4,6.5635164e-07,0.4,6.1039001e-07,0.4,5.8514331e-07,0.4,5.3610166e-07,0.4,4.9816422e-07,0.4,4.7560443e-07,0.4,4.1720278e-07,-0.4,-1.5125536e-05,-0.4,-1.4109186e-05,-0.4,-1.3032199e-05,-0.4,-1.127956e-05,-0.4,-9.2280798e-06,-0.4,-8.6772833e-06,-0.4,-8.668521e-06,-0.4,-6.8978912e-06,-0.4,-6.8221011e-06,-0.4,-8.616038e-06,-0.4,-6.523367e-06,-0.4,-5.3810779e-06
0.45,2.3621799e-06,0.45,2.3621799e-06,0.45,2.3781455e-06,0.45,2.4428402e-06,0.45,1.6096584e-06,0.45,1.5668092e-06,0.45,1.633739e-06,0.45,1.4882828e-06,0.45,1.3990474e-06,0.45,1.3230556e-06,0.45,1.2063351e-06,0.45,1.1171316e-06,0.45,1.0652436e-06,-0.45,-2.0853259e-05,-0.45,-1.9191678e-05,-0.45,-1.7375874e-05,-0.45,-1.5359822e-05,-0.45,-1.2257765e-05,-0.45,-1.1368215e-05,-0.45,-1.1669285e-05,-0.45,-9.0354165e-06,-0.45,-8.8642794e-06,-0.45,-1.1717536e-05,-0.45,-8.5535648e-06,-0.45,-6.8714981e-06
