DP TotalCurrent(IdVgp_550n63_des) X,DP TotalCurrent(IdVgp_550n63_des) Y,DN TotalCurrent(IdVgn_550n63_des) X,DN TotalCurrent(IdVgn_550n63_des) Y
0,-4.6572139e-07,0,2.9412975e-07
-0.05,-9.9082142e-07,0.05,3.9074051e-07
-0.1,-1.9297877e-06,0.1,5.2571401e-07
-0.15,-3.3371969e-06,0.15,7.3035901e-07
-0.2,-5.1077211e-06,0.2,1.0654416e-06
-0.25,-7.175575e-06,0.25,1.6357398e-06
-0.3,-9.3834189e-06,0.3,2.5842292e-06
-0.35,-1.1701876e-05,0.35,4.0277443e-06
-0.4,-1.4098687e-05,0.4,6.1143389e-06
-0.45,-1.6525582e-05,0.45,8.8832238e-06
-0.5,-1.8993851e-05,0.5,1.187123e-05
-0.55,-2.1435035e-05,0.55,1.4825145e-05
-0.6,-2.3837838e-05,0.6,1.7920075e-05
-0.65,-2.6192135e-05,0.65,2.0936199e-05
-0.7,-2.8503348e-05,0.7,2.3850471e-05
-0.75,-3.0770521e-05,0.75,2.6630482e-05
-0.8,-3.3017656e-05,0.8,2.9290512e-05
-0.85,-3.5249502e-05,0.85,3.189085e-05
-0.9,-3.7419948e-05,0.9,3.4543822e-05
-0.95,-3.9522588e-05,0.95,3.7139898e-05
-1,-4.1555084e-05,1,3.9673604e-05

